channel_name,date,likes,comments_count,view_count,title
Ritika ritz,2025-08-04 15:47:24+00:00,64,3,6533,whats wrong with zudiozudio zudiohaul shorts viral ytshorts
That Pinkish Girl,2025-08-01 16:22:00+00:00,44,7,6090,zudio sale 2025  31 july to 31st  zudio summer collection 2025 starting 19 zudio shopping
Narayanan's Roadmap to your Professional Milestone,2025-08-03 11:15:31+00:00,5,0,1372,zudio  citi centre  weekend rush sunday zudio shopping
Amansi ,2025-08-05 11:31:39+00:00,37,5,1656,zudio sale haul part1 tshirt just for 149rs zudiosale zudio haul youtubeshorts zudiohaul
Farhan Vlogger,2025-08-12 02:30:14+00:00,113,16,10124,zudio sale 2025  zudio summer collection 2025  zudio new collection  zudio shopping  zudio sale
POWERFUL MEDIA,2025-07-05 11:43:24+00:00,1500,13,109283,zudio shopping vlog  zudioshoppingvlog zudiohaulvideo tamilshorts minivlog zudioindia vlog
Sweet mona,2025-08-08 04:53:12+00:00,7,0,853,zudio sale prices dropped or less 399  new arrival rakhi special  zudio sale
Saurabh Devrani,2024-06-21 08:05:41+00:00,707,7,70640,zudio shoe collection under 1k menfashion zudio zudiohaulvideo trending viral styling shoes
Smart Cooking With Uzma,2025-08-02 11:33:27+00:00,17,3,2637,zudio bags collection  zudio sale 2025 shorts ytshorts zudio zudiobagcollection zudiosale2025
Akanksha The Xplorer,2025-07-26 05:30:31+00:00,69,0,9014,zudio sale update zudiofashion sale akankshathexplorer
Vashu Aulakh (Kriti),2025-03-26 16:00:09+00:00,6500,54,220726,newly launched mini lipsticks by zudio detailed review zudio beautyessentials ytshorts
Down To Won,2025-08-08 11:15:05+00:00,71,3,3294,how zudio cracked indias fashion market shorts
Aakriti Jain,2025-06-01 07:05:00+00:00,0,7,21309,zudio summer collection 2025 tryon haul   affordable  trendy dresses under 1000 zudio dress
Sakshi Sharma,2025-05-17 13:27:09+00:00,17000,32,1165300,starting  49rs zudio haul shortsbeta ytshorts youtubeshorts youtube shorts
The Founder's Dream,2024-11-06 16:29:55+00:00,0,1297,9042733,zudio is not luxury  the unclaimed tata brand
shimic my home,2025-07-31 12:23:04+00:00,385,24,42261,zudio sale 2025  zudio  zudio sale  zudio summer collection zudiosale zudio zudiosale2025
Aishwarya Gupta,2025-01-24 14:36:16+00:00,3200,22,399116,zudio makeup  zudio lipstick zudio zudiomakeup
Let's travel with Vaishnavi,2025-08-13 09:49:09+00:00,1,0,599,zudio collection travel zudio zudioshoppingvlog zudioindia zudioshoes ig
Suraj & Yashi Shorts,2024-06-22 13:30:03+00:00,284000,365,8642854,zudio me kiya free me makeup youtubeshorts minivlog
Crazy uday,2025-08-04 12:30:57+00:00,0,18,2494,zudio sale 2025 in august shorts teluguvlogs vlog zudio zudiosale2025 sale crazyuday
Allen Choudhary,2023-07-31 08:53:10+00:00,76000,136,1317877,4 amazing college outfits from zudiodailyshorts mensfashion zudio collegeoutfits styletips
Aalsi Ayushi,2025-07-13 12:30:17+00:00,260,2,29750,zudio july collection 2025  zudio latest collection july  zudio monsoon collection starting 499
The Quirkies,2025-08-12 13:08:50+00:00,4,4,88,zudio must haves zudiozudiocollectionjewellerymusthaveshaulcollegeoutfitsshoppingsaleviral
World of Swabhi ,2025-03-20 14:34:24+00:00,5800,22,787112,zudio summer collection 2025  affordable fashion haul
Glow up with Daraksha ,2025-08-03 04:30:22+00:00,16,1,1487,zudio summer collection sale 2025zudio zudiohaulvideo ashortaday shortsfeed shorts viralshort
The Peppy Persona,2025-08-05 17:31:33+00:00,7,0,1113,zudio nightsuit shorts shortsfeed fashion zudio zudioshoppingvlog sale shortsvideo zudiotour
Shivangi Chauhan,2023-11-24 04:25:00+00:00,52000,277,1648078,zudio haul starting at 69
Unbox with Sweta,2025-08-12 16:30:29+00:00,0,0,1968,zudio affordable accessories trending zudiofinds foryou zudio
Angel Roshna ,2023-08-24 11:36:04+00:00,26000,28,427238,zudio haul  zudio angelroshna
Foodie Bharathi,2024-02-20 10:32:00+00:00,112000,289,7781116,lipstick poda vanthathu oru kuthama shorts zudio dmart zudiohaul lipstick shopping vlog
Monika Singh,2025-08-13 12:10:43+00:00,19,1,627,how zudio outsmarted zara  hm zudio zara tatagroup ratantata india offlinestore
mini tales ,2025-08-13 13:39:03+00:00,6,2,89,zudio shopping day youtubeshorts shopping minivlog shorts quickbites food ytshorts
Saiteja Vinnakota,2023-01-22 13:00:18+00:00,6400,39,144926,zudio vijayawada      saiteja vinnakota
Cooking&beautywithshabs.,2025-08-12 16:32:46+00:00,0,0,1018,lets visit zudio for trending fashion in your budget zudiotrendingshortstrendingsong ytviral
Style Sanctuary,2025-08-05 10:25:39+00:00,1,0,414,zudio sale 2025 zudio zudiosale zudiosale2025 shortsfeed
Shwetha Jayaram,2025-05-21 15:54:38+00:00,656,30,32381,zudio summer collection zudio kochi malayalam ownvoicemalayalam
Inzar Vlogs,2025-07-31 17:01:15+00:00,693,10,45339,zudio sale 2025 1 august
Asvi Malayalam,2025-03-12 15:11:03+00:00,14000,34,335291,palakad zudio poli allee  shortsvideo zudio zudioshoppingvlog
Kunal Thakurz,2024-10-17 14:30:05+00:00,735000,1625,17576537,robbery in zudio
Nishtha Tiwari ,2025-07-26 17:14:40+00:00,0,0,19856,zudio mini vlog zudio zudioshoppingvlog zudiowomencollection zudiofinds
Preeti Bisht,2025-08-02 03:30:27+00:00,425,10,34533,31 july 31 aug 2025biggest zudio sale is hereeverything under rs499 zudiosale2025 zudiohaul
shimic my home,2025-06-07 07:37:59+00:00,1100,11,113480,zudio summer collection 2025  zudio latest collection 2025  zudio zudio shorts trending
Tan Man Dhan,2025-05-17 14:31:56+00:00,3800,17,124567,reality of 7000 cr zudio bigger than zara  westside  shorts
Asvi Malayalam,2025-05-11 05:30:28+00:00,10000,20,417193,zudio summer collections kandallo  shortsvideo zudio zudioshoppingvlog
livewithloya,2025-06-24 10:35:25+00:00,766,0,115836,zudio sale 2025 is in august zudio zudiosale zudiosale2025 trending sale shorts ytshorts yt
Girlyyglam,2025-08-13 14:09:55+00:00,1,0,322,you cant misszudio zudioshopping zudiofashion zudiocollection zudiosale2025 zudiohaul
Find Your Style with ME,2025-07-12 13:52:37+00:00,170,1,9458,10 cheapest zudio shirts under rs 599 zudioshirts
Niyati Diaries ,2025-08-01 05:48:01+00:00,262,0,39965,zudio sale is live  31 jul  31 aug  zudio zudiosale2025 zudiohaul sale shorts ytshorts
Panshi ,2024-05-01 18:05:04+00:00,222,5,14856,zudio ka sach  worst or best  bhopal zudio zudio zudioindia bhopal review shorts viral
Life of NG,2025-08-06 14:05:01+00:00,18,0,3553,zudio sale haul zudio zudioshoppingvlog zudioshoppingvlog zudiohaulvideo zudiosale2025 viral
Sanju Vlogs ,2025-08-03 16:20:40+00:00,28,0,2999,zudio sale          zudio zudioshoppingvlog minivlog shopping
Vaishnavi's Miracle,2025-08-07 05:27:29+00:00,13,1,1527,latest zudio dress collection under 499 zudio ashortaday zudioindia ootd dresses shorts
Magizhnidhi ,2025-08-09 11:46:32+00:00,2,0,1186,zudiozudio nail polish collectionshorts
CA Piyush Bafna,2025-07-27 12:52:20+00:00,976,22,30020,zudio fought dmart and destroyed profit  shorts trending capiyushbafna
Sassy Visions,2025-08-07 18:51:23+00:00,7,0,973,zudio sale items 299 shots zudiocollection zudioshoppingvlog zudiohaulvideo zudioindia viral
SUSMITASRI MUKHERJEE,2025-07-31 14:16:52+00:00,33,1,5966,zudio big sale 31st july  crazy deals  discounts 2025  fashion haul
Alfala vinoj khan,2023-09-21 10:52:45+00:00,19000,101,493458,zudio haul zudio trending shorts haul viral alfala
Vibewithvidhi,2025-08-09 07:54:09+00:00,41,4,4851,zudio haul part1 zudiohaulvideo zudio outfits vidhikashyap viralshorts apdhillonnewsongs
Arti Tutorial,2025-07-31 10:49:37+00:00,0,1,6930,zudio makeup collection zudio sale 2025 zudio zudiohaul zudiosale zudiosale2025 trending yt
Trisha Roy,2025-08-06 05:20:59+00:00,20,2,1664,zudio sale is live now   trisharooyofficial trisharooy trisha roy
Monika Singh ,2025-07-03 13:30:36+00:00,701,2,91168,zudio shopping  zudio shopping haul tops affordable
Geetu's Vlogs,2024-07-12 09:12:05+00:00,6800,12,132435,zudio best summer collection zudio viralvideo trendingshorts
Beautiful life look ,2025-07-30 07:36:32+00:00,46,2,2643,new stylish zudio footwear collection summerwear fashion zudio
Nitin Joshi,2024-02-13 12:30:29+00:00,79000,225,2565609,zudios business model  nitin joshi tata zudio businessstrategies pricingstrategy
AsfaVlogs ,2025-08-04 13:00:41+00:00,1200,4,80473,evlo kutam ah shortvideo zudio zudioshoppingvlog trend trending shorts
akansha says hello,2025-08-02 13:43:44+00:00,55,0,5045,zudio sale 2025 zudio cloths for sale zudio hyderabad zudio secunderabad zudio offers zudio
Harsh Patel 2.O,2023-12-02 02:36:54+00:00,1500,2,171004,zudio nailed it  zara dups shirts  cargowinter collection wintercollection trending zudio
Ankitha Neeradi,2025-08-01 14:22:23+00:00,29,0,1766,zudio sale beauty products 2025 shortsfeed shorts viral sale zudio trending explore foryou
Hridhya,2025-08-07 15:40:02+00:00,25,2,3067,zudio sale      shopping zudio kerala
Eshita Mondal,2025-07-28 10:36:29+00:00,49,10,1676,zudio budget friendly hauls viralvideo zudio zudiohaul viralshorts shopping budgetfriendlyyt
Jigyasa Teckchandani,2025-07-01 14:25:31+00:00,26,1,6186,zudio sale 2025 reality exposed 1st july 2025 zudio comedy funny trending viralshort life fun
Atrangi Sunshine,2025-08-03 07:57:01+00:00,4,0,730,zudio monsoon sale 2025  shortvideo shortsfeed shorts short shortsvideo zudio sale
Akki Singh Vlog,2025-08-07 07:04:30+00:00,0,3,1948,zudio vs kwabeykwabey zudio zudiosale2025  viral trending shorts
The Negii Siblings,2025-06-30 16:40:34+00:00,53,5,6582,zudio sale starts from 1st julyytshorts zudio zudiosale2024 zudiofashion style zudioindia
By Chinthu,2025-08-02 12:42:53+00:00,24,0,3261,sale zudio sale shopping trending reels viral youtubeshorts shorts food fypyoutube fyp
Bhavi Mewada,2024-06-16 09:26:20+00:00,5600,19,522009,zudio footwear haul under 299 youtubeshorts foryou explore zudio haul bhavicrew shortsfeed
PeachVibesss,2025-08-02 11:38:03+00:00,40,7,2115,dont miss the august sale   zudio trending fashion viral shopping sale cosmetics skincare
Lazy Vlogger Mousumi,2025-08-03 07:59:44+00:00,42,2,1754,zudio sale 1st august 2025 minivlog shopping zudio zudioshoppingvlog zudiosale shorts fashion
kiya sauren,2025-08-02 20:06:34+00:00,12,0,1660,zudio monsoon sale  zudio august sale zudio zudiosale2025 zudioindia shorts  youtubeshorts
Raj Dobal,2024-02-23 13:30:15+00:00,1300,25,69018,zudio did a scam  shorts ytshorts zudio
Ayesha Barla,2025-08-02 04:33:01+00:00,256,4,16547,augusts craziest sale is here   zudio offers you need to see  zudio august sale 2025 minivlog
Arti Tutorial,2025-08-12 04:30:38+00:00,0,0,4709,zudio sale 2025  zudio haul   arti negi zudio zudiosale zudiohaul trending shorts yt vlog
Allen Choudhary,2024-01-18 08:34:46+00:00,127000,225,1785992,how to use 1000 in zudiodailyshorts zudio mensfashion styletips fashion outfitideas tips
The Formal Edit,2023-06-24 13:34:27+00:00,90000,192,1356657,zudio quality realityzudio shorts
Fathoom Nizami,2025-08-08 06:42:34+00:00,8,1,1527,zudio sale alert everything on sale now at 399 or less  zudio offer malayalam zudiosale
Anshika Srivastava,2025-07-24 12:00:42+00:00,364,3,29313,zudio new perfume and accessories collection  shorts zudio shopping  zudioshoppingvlog makeup
Harman Bhullar,2025-01-29 12:48:09+00:00,1800,11,87721,zudio necklace collection zudiofinds zudiohaul zudiojewellery zudiohaulvideo zudiovlog
Kajol Singh,2025-01-03 12:39:57+00:00,4800,36,677527,zudio sale 2025shortsviralyoutubetrendingzudiosalezudiosale2025kajolsingh10042025videolko
RivaYoutube,2025-08-02 08:37:22+00:00,41,0,7472,zudio sale 2025  zudio makeup collection  zudio zudiohaul zudiohaulvideo zudiosale trending
Sonia Garg,2025-06-28 06:14:42+00:00,151000,243,5017680,trying mini makeup from zudio for first time
Sweet mona,2025-08-08 12:21:29+00:00,17,1,1728,zudio latest collection  zudiosalezudiozudiohaulzudiotopshortsytshorts
Shruti Singh,2025-07-02 11:03:27+00:00,158,5,24263,zudio summer sale 2025  1st july zudio sale news shorts youtube trending zudio zarawestside
Shreya Singh,2025-07-22 08:30:34+00:00,0,6,3103,zudio collection 2025  zudio latest collection  zudio haul  zudio zudiohaul short
G's folklore ,2025-08-03 08:00:42+00:00,0,6,12592,zudio sale 2025 august starts 49  lingerieshoesperfume makeup  clothing all under 300
BrainKrupt,2022-12-02 12:30:47+00:00,101000,204,2445337,affordable finds at zudio
Nikita Singh,2025-08-08 04:37:14+00:00,202,2,20121,cute tshirt in 150zudio zudioshoppingvlog zudiohaulvideo trending viral shopping affordable
Akshaya Aravind ,2025-08-06 11:56:05+00:00,0,0,1085,zudio findstrending comedy zudiosale2025 zudiohaul fashion wife couple marriage minivlog
Navida's Good life,2025-08-01 16:36:16+00:00,27,0,3249,zudio sale is live  zudio sale 2025 zudio trendingshorts viralshort shortsfeed
Seepana Mounika,2025-08-06 03:31:09+00:00,205,2,14290,offers sale starts just 49 minivlog shopping offers zudio youtubeshorts ytshorts shorts
Explorer Jessica,2025-08-12 07:31:31+00:00,4,0,322,zudio sale zudiostoretour shopping fashion zudioshopping sale biggest surprise zudiotour
Ana Mishra,2024-01-27 15:45:00+00:00,458,5,15946,things to buy from zudio under rs 200 shorts zudio zudiofinds ashortaday
Always Sowji vlogs,2025-08-01 12:29:08+00:00,17,0,1557,zudio biggest sale 2025 starts 1st  31st august new trending collection zudioshortshyderabad
Harman Bhullar,2025-05-13 07:56:55+00:00,679,3,93943,zudio summer collection zudiozudioshoppingvlogtrendingzudiofindszudiohaulvideo
Shalini Sinha,2023-09-22 08:45:37+00:00,0,23,569342,zudio299 thanks for 10kzudio kurtis youtubeshorts ytshorts trending transition shorts
Sakshhii_vlogg,2025-07-27 16:22:48+00:00,442,2,19472,zudio ne phir se confuse kar diya  zudio zudiohaul short minivlog
Vibing with Isha,2025-08-01 13:50:15+00:00,9,1,2009,zudio sale 2025 zudiosale zudio zudioshoppingvlog zudioindia zudiofinds zudiohaul viral
Aamir shroff,2024-11-09 04:55:00+00:00,721000,2412,22742135,respect motivation zudio sad vlogs shorts
Rinki's lifestyle,2025-08-02 10:37:06+00:00,14,2,713,zudio summer collection youtubeshorts explorepage shortvideo fypviral zudio fypviral
Prity Singh,2025-08-02 08:31:08+00:00,0,11,33047,lwp day25100 zudio saleyoutubeshorts zudio shortsfeed sale zudiosale2025 minivlog viral
Velli Krish Vlogs,2025-08-04 16:56:54+00:00,83,0,8190,zudio footwear sale 149 zudiosale zudio youtubeshorts shorts shopping
Deepika Ramesh,2025-08-08 05:24:51+00:00,83,0,10105,zudiooffer
Harsh kem vlogs,2025-08-01 07:10:00+00:00,155,17,14349,zudio sale haul 2025  zudio summer sale haul 2025  zudio shopping  zudio latest summer collection
Sha Vlogs,2025-08-11 20:34:19+00:00,3,0,126,zudio sale shorts ytshorts trending youtubeshorts viral viralvideo youtube short
Velli Krish Vlogs,2025-08-01 15:51:12+00:00,308,6,33885,zudio sale 2025 august  zudio sale 2025  zudio haul  zudio summer sale 2025 zudiosale
Explore with NK,2025-08-12 18:21:11+00:00,8,0,451,zudio biggest sale 2025 dont miss this opportunity sale zudio explore noida delhi realestate
Velli Krish Vlogs,2025-08-10 05:30:34+00:00,95,0,6760,zudio makeup sale  zudio makeup haul  zudio sale august zudiosale shorts ytshorts
lavanya diaries,2025-08-02 10:47:53+00:00,0,11,18768,zudio august sale 2025 collections starts from 49
That Pinkish Girl,2025-07-22 07:20:00+00:00,119,12,18911,zudio summer collection 2025  latest collection 2025  zudio new collection zudio zudio trending
Beauty Through The Lens ,2025-08-08 07:35:57+00:00,80,2,13988,zudio haul youtubeshorts haul zudio shoppinghaul shorts meeshohaul jewellery
aimensglow,2024-11-07 17:04:56+00:00,27000,97,1635442,zudio makeup haul shorts ytshorts zudio zudiohaul bhoolbhulaiyaa3 youtubeshorts makeup
Anchal Thakur ,2025-05-21 09:32:53+00:00,769,7,104642,zudio summer collection 2025  affordable fashion haul  zudio youtubeshorts onlineshopping
Saloni Beauty,2025-08-13 08:21:23+00:00,6,0,342,zudio fashion haul   affordable style big vibes shorts zudio zudioshoppingvlog
Shelis Story,2025-08-13 07:23:53+00:00,11,1,521,zudio sale  new arrival collection  zudio biggest sale 2025  zudio trendy shopping collection
Arti Tutorial,2025-06-22 07:05:23+00:00,0,7,102631,zudio summer collection kurti haul zudio zudiohaul zudiohaulvideo zudiocollection trending yt
Ayush Flit,2025-08-12 15:33:26+00:00,0,2,718,zudio vs pantaloons comparison  shorts youtubeshorts challenge
Allen Choudhary,2023-01-14 08:05:37+00:00,132000,849,3895263,zudio vs zara bomber jacket  mensfashion mensfashion dailyshorts zudio zara fashion sale
Indian Vlogger Suparna,2025-08-04 14:31:22+00:00,251,14,6317,zudio      salegariahat zudio pujo collectionzudio sale 2025
Baaku,2025-06-25 06:30:16+00:00,670,11,49070,zudios biggest sale is coming zudio sale cheapestgarments biggestsale shorts
Harshu Vlogz,2025-08-01 07:08:35+00:00,0,52,82596,zudio summer sale
Ashima The explorer,2024-10-26 08:09:49+00:00,9200,36,248040,jewellry from zudio  zudio zudiohaulvideo
That Pinkish Girl,2025-08-02 07:15:05+00:00,121,37,20685,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio shopping  summer collectioni zudio
Lilabachanlifestyle...,2025-08-11 03:59:55+00:00,96,4,1166,zudio salezudio shorts youtubeshorts love
Aalsi Ayushi,2025-07-19 12:31:11+00:00,196,0,25101,zudio latest collection july 2025  zudio new arrivals starting 299 zudio monsoon collection
VlogNFood ‍,2025-08-03 15:30:09+00:00,19,3,2369,zudio sale 2025  zudio sale  zudio sale 2025 1 august zudio shoppingzudiozudiohaulzudiosale2025
Reviewture,2025-08-13 12:00:38+00:00,2,1,23,zudio and westside maha sale zudio westside sale youtubeshorts shorts
Unbox & Glow,2025-08-03 12:57:46+00:00,3,0,2097,kids collection zudio sale 2025 zudiozudio sale zudiosale zudio zudiosale2025 trending
Helen's Creative Ideas,2025-08-03 11:21:24+00:00,51,10,773,zudio sale august 2025 bicholim north goa helens creative ideas
Theni JeyMoni Vlogs,2025-08-13 15:05:03+00:00,9,3,851,zudio shopping shorts love zudio madurai capcut trending viralvideo shortvideo song fyp
HeyItsAanchal,2024-04-03 14:00:38+00:00,818,3,55988,zudio kajal for 69 heyitsaanchal zudio
Nilamexplore,2025-08-09 06:19:28+00:00,43,4,10940,zudio sale  zudio sale 2025 zudio 1st august 2025 zudiosale2025 zudio zudioshoppingvlog sale
Kajal Gupta,2025-08-08 14:13:37+00:00,15,0,1682,zudio august 2025 sale is live zudio sale zudioshoppingvlog shorts youtubeshorts
Khyati Saxena ❤️,2025-01-05 12:52:40+00:00,1200,0,160764,zudio  new year sale 2025  zudio sale newyear trending
Rc Star ,2025-06-28 12:56:53+00:00,25,0,2262,zudio new collection 2025 ytshorts zudio fashion maxfashion shorts viral video max shopping
Amruthasmenon ,2025-08-03 09:07:14+00:00,200,0,27635,zudio sale offer viralvideo youtubeshorts shorts reels fashion fashionblogger trending
Style with Neha Rathore ,2025-08-03 04:30:39+00:00,14,0,262,zudio sale 2025 in august zudio zudiohaul zudiosale2025 ytshorts viral zudioshopping sale
kavya Rise,2025-08-03 03:50:35+00:00,5,1,1710,zudio sale collection 2025 shorts zudio zudiotour trending zudiohaul kavyarise ytshorts
Somsi Yadav,2025-06-20 03:07:10+00:00,370,7,27015,latest zudio collection zudio beauty products review zudio zudiofinds skincare makeup
Aalsi Ayushi,2025-08-07 13:59:00+00:00,26,0,1854,zudio august sale  itna sasta  zudio sale collection  zudio raksha bandhan collection zudio
Juhi Chabriya,2025-05-24 17:09:02+00:00,104,1,10668,zudio set of 3 lipsticks zudiomakeup zudio
Nidhi Singh ,2025-08-05 12:30:04+00:00,103,5,7396,zudio sale alert   zudio shorts youtube explore youtube
Nittzz lifestyle ,2025-08-08 12:30:08+00:00,0,0,481,zudio sale on board  shorts zudio zudiofinds sale offerprice shopping brands
Empty Life YT,2025-08-02 14:44:58+00:00,10,1,1644,zudio sale alaparaigal shortvideo shorts zudio trending 1million trending shortvideo
Ooru Bengaluru,2025-08-02 15:35:51+00:00,5100,67,1147508,westside sale on 1st august  westside sale bangalore zudio monsoonsale fashion discount fyp
Hack it with Megha,2025-02-03 05:30:04+00:00,1500,5,132213,zudio summer collection 2025 zudio zudiowomencollection
a to z sonam,2025-08-05 13:08:08+00:00,10,0,212,zudio sale zudio zudiostoretour shopping shorts
Minal Chawle,2025-07-19 09:30:05+00:00,48,2,2251,comment your favzudio zudiohaul haulvideo youtubeshorts
Things 2 Know With Me ,2025-07-14 10:45:05+00:00,8,4,2424,zudio footwear collections  zudio  things 2 know with me zudio zudiofootwear zudioshoppingvlog
Aishwarya Gupta,2025-06-08 15:28:27+00:00,259,0,52432,zudio cheek shine  zudio makeup zudio zudiomakeup
Ritika Khurana,2025-03-05 05:34:12+00:00,4600,32,541188,hit or a miss zudio affordable fashion shorts
Baishali Saha,2024-08-07 05:00:19+00:00,1600,19,293120,zudio sale 2024 1 august  zudio minivlog viral
BeYourBest Shorts,2023-08-04 06:11:24+00:00,31000,76,448962,zudio shopping for college  zudio college haul  beyourbest beyourbestofficial
DramaTickle Error,2025-08-11 16:42:42+00:00,41,0,2855,zudio new shades   zudio nailpolish zudiohaul
RJ Diaries tamil,2025-08-05 18:57:18+00:00,21,0,1370,august 1st offer  zudio  chennai
Ira Sankrityayan,2025-01-22 14:30:38+00:00,619,9,69156,zudio accessories shopping 2025   handbags shoes watches jewellery  morezudio shorts
Dora vlogs,2025-08-02 15:33:39+00:00,10,0,57,zudio collection 2025  zudio latest collection 2025 zudio zudio zudioshoppingvlog shorts
# I am Noob,2025-08-10 11:54:44+00:00,21,0,5776,mensfashion fashion minivlog shopping zudio find chepest
Sanju Lifestyle ,2024-06-30 06:58:08+00:00,22000,217,966571,zudio a big mistake ashortaday zudio minivlog
Aakanksha's corner,2025-06-02 14:22:41+00:00,518,2,43996,zudio pinteresty jewellery at just 49 zudio zudiohaul shorts ytshorts
Dakshuvlogs1613,2025-08-04 13:56:58+00:00,0,6,2733,zudio sale collection from 1st aug  dakshuvlogs1613 youtube shorts zudio sale collection
Rushali Tambe ,2024-11-11 14:05:01+00:00,1000,15,104377,zudio winter collection
Vlogsofsona,2024-11-19 12:35:08+00:00,64000,106,1614203,zudio shopping vlog    vlogsofsona  zudioshop zudio minivlog
Shivani Damani,2025-06-19 17:41:02+00:00,75000,130,9200001,zudio candy lipstick set of 6 nude lipstick from zudio zudio lipstick
Velli Krish Vlogs,2025-08-01 14:56:53+00:00,176,21,26140,zudio sale 2025 august  zudio sale 2025  zudio haul  zudio summer sale 2025 zudiosale
saiprasanna jatoth,2023-05-24 12:54:38+00:00,199000,623,7187349,zudio lo shopping starting price 79shopping
Tanmay Ed vlogs,2023-09-08 02:30:15+00:00,492,16,40105,zudio shopping formal rap system travel shoppingvlog zudio
Navida's Good life,2025-08-08 15:22:17+00:00,27,1,2420,zudio sale 2025  zudio summer collection 2025  zudio haul  zudio zudio viral trending
aimensglow,2025-06-15 08:42:45+00:00,4800,21,350622,zudio makeup haul  lips edition zudio zudiomakeup zudiohaul lipstickhaul 2025 honestreview
shimic my home,2025-06-12 16:44:48+00:00,320,3,38504,zudio summer collection 2025  zudio latest collection 2025  zudio zudio shorts trending
HeyItsAanchal,2025-07-30 16:31:09+00:00,248,4,20146,zudio deo sprays for 99 heyitsaanchal
Aashna K ,2025-07-02 14:37:57+00:00,10,0,3103,zudio latest collection ytshorts trending viral clothing zudio haul
Aalsi Ayushi,2025-03-20 13:30:19+00:00,655,0,105430,zudio summer collection 2025  zudio kurti collection under 299  zudio cotton kurti under 299
jasmine kaur,2025-08-02 12:49:11+00:00,104,12,18289,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio shopping  summer collection zudio
Purely Anjali,2025-08-10 08:00:53+00:00,0,0,4485,zudio random finds anjaliunfiltered trending shorts viral zudio dilkajohaalhai
shimic my home,2025-06-15 06:30:11+00:00,138,20,21256,zudio summer collection 2025  zudio latest collection 2025  zudio haul  zudio shopping  zudio
Harman Bhullar,2025-05-10 17:06:22+00:00,2400,6,258856,zudio may month jewellery haul zudiozudiofindszudiohaulzudiohaulvideotrendingzudiojewelleryyt
kavya Rise,2025-08-13 06:33:37+00:00,2,3,483,zudio new sale collection shorts fashion zudio zudiohaul zudiosale kavyarise viralvideo
SlaySim ,2025-08-01 10:30:36+00:00,0,6,1884,zudio skincare review  budget glow or big nozudio zudioskincare realreviews zudiohaulvideo
Aarusha Vlogs,2025-08-02 15:30:59+00:00,0,1,3905,zudio sale august zudio zudiosale2025
Rena Goswami,2025-05-06 11:30:20+00:00,0,32,1214882,zudio dry shampoohair viralvideo shorts hairstyle trending funny skincare haircare diy
Pooja Gautam,2025-07-31 18:11:22+00:00,27,3,1156,zudio sale zudio zudiosale2025 sale trending trendingshorts youtubeshorts youtube video
Divyansh's Odessey,2022-11-19 16:32:54+00:00,13000,94,485910,zudio 2024 collection very cheqp price
Shelly Emmanuel,2025-08-04 16:54:34+00:00,0,0,2624,zudio makeup finds  zudio sale  products on sale zudiofinds zudiohaul makeup sale
Naushad Vlogger,2025-08-02 04:00:12+00:00,30,6,3142,zudio sale 2025 1 august  zudio sale live  zudio summer collection 2025  zudio haul
My Dream Catcher ,2025-08-08 17:07:34+00:00,5,0,922,sale sale sale biggest sale in zudio shortsfeed shorts shortvideo  viral youtubeshorts
Healthy and beautiful world,2025-07-14 09:10:41+00:00,73,2,8021,zudio latest collectiontrending fashion dress shortvideo zudioshopping
Sicily Xavi,2025-08-03 04:45:06+00:00,17,3,3394,zudio sale 2025 august  zudio sale 2025  zudio haul  zudio summer sale 2025 zudiosale
shimic my home,2025-07-30 16:04:05+00:00,86,15,24484,zudio sale 2025  zudio  zudio sale zudiosale zudio zudiosale2025
Clicks of love,2025-06-14 17:00:31+00:00,648,0,35521,zudio finds beauty products zudio trending shorts viral
Saifivlogs2.0,2025-05-07 16:28:11+00:00,235,1,14823,zudio summer collection 2025
Find Your Style with ME,2025-08-03 09:06:53+00:00,219,1,11128,zudio sale picks from just 29 zudiosale
Dewansh Soni Official,2023-05-04 16:46:22+00:00,251000,221,4702281,zudio me hui chori minivlog viralshort indorecity ytshort  zudio
Abhilasha Gupta,2024-04-23 13:51:57+00:00,1200,33,57633,applying zudios sheet mask of rs 49 only  zudio zudiofinds sheetmaskreview youtubeshorts
Rc Star ,2025-07-01 01:45:24+00:00,25,0,2502,zudio new kid  collection 2025 ytshorts fashion zudio maxfashionshopping shorts viralmusic
Alisha Singh,2024-10-26 14:30:24+00:00,768,3,45923,zudio latest diwali sale collection minivlog vlog vlogs diwali zudio zudioshopping fashion
Ayisha Sana,2025-07-06 10:14:44+00:00,0,51,33155,cute finds from zudio  zudiofinds u
Desidime,2023-09-11 05:21:07+00:00,2000,8,247799,zudio footwear edition zudio haul footwear shopping
Trending fashion ,2025-05-28 15:27:48+00:00,141,0,33387,zudio shopping makeup shopping zudio
VijayVision,2023-06-12 15:21:48+00:00,203,5,11497,affordable brand zudio zirakpur shorts zudio shopping travel  viral
Mahe Diaries,2025-01-03 11:30:38+00:00,0,10,31140,zudio sale 2025dont go on weekendssale end jan 30mahevlogztrendingzudiosale2025shorts
Sasi Deepthi,2025-06-26 11:30:58+00:00,106,4,8197,shopping at zudio shopping zudio trending viral shorts fashion sale
