channel_name,date,likes,comments_count,view_count,title
Arti Tutorial,2025-08-09 06:52:32+00:00,0,0,5421,zudio sale  zudio sale 2025  arti negi zudio zudiosale zudiohaul zudiohaulvideo trending yt
Spandana Shree,2025-08-12 07:30:31+00:00,27,3,2073,westside  max  zudio  sale shopping    spandana shree
shimic my home,2025-08-01 15:24:30+00:00,915,23,95002,zudio sale 2025  zudio  zudio sale  summer collection zudiosale zudio zudiosale2025 trending
Shivani ka Safarnama,2025-08-03 11:20:20+00:00,0,14,41720,zudio august sale collection  zudiosale2025 exploreshorts shortsvideo
Shopping Secrets ,2025-08-11 04:30:38+00:00,26,2,4536,zudio latest summer collection 2025  zudio haul  zudio sale 2025 zudio new arrivals  zudio sale
shimic my home,2025-07-31 10:33:10+00:00,711,253,99713,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio shopping  summer collection  zudio
Munmun Lifestyle Corner,2025-08-03 05:30:06+00:00,65,17,5287,zudio sale 2025 zudio sale  zudio shopping  summer collection zudio
Life Trend's Hub,2025-08-12 08:10:00+00:00,37,0,435,zudio women collection 2025  zudio dubai 1st anniversary sale  womens wear discounts  offers
KALUA ,2025-08-11 06:32:40+00:00,80,31,4792,zudio sale 2025  zudio sale  zudio sale 2025 1 august  zudio shopping  summer collection  zudio
Just Rahul Vlogs,2025-08-12 04:41:20+00:00,208,4,9858,2rs        decoration items for ganeshotsav 2025
Desiii_Core,2025-08-12 05:50:01+00:00,203,1,23102,zudio sale subscribe fashiontrends zudio shorts ytshorts
Sindhu acharya,2025-08-12 04:24:15+00:00,8,0,1086,zudio sale 99499rs  zudio sale zudioshoppingvlog shopping travel shorts short video yt
ABC Malayalam News,2025-08-12 07:05:00+00:00,3700,547,106879,abc talk  coup dtat removal
Rubysdiary,2025-08-03 07:58:15+00:00,1400,7,138105,yeppa yevalo kuutamm  everything under 499 outing zudio offer
That Pinkish Girl,2025-08-05 15:20:01+00:00,142,13,20778,zudio summer collection 2025  zudio latest collection 2025  zudio haul  zudio shopping  zudio
Sweet mona,2025-04-09 05:21:55+00:00,644,2,80365,zudio new summer collection 2025  zudio sale 2025 zudiozudiohaulvideozudiojhansisweetmona
The G.O.A.T,2023-08-27 12:35:49+00:00,7300,10,577640,7 things to buy in zudio  fashiontamil fashiontrends menfashion
Eternal Essence,2025-05-26 15:48:50+00:00,461000,554,38193440,galat shopping ker loshopping zudio zudioshoppingvlog
Allen Choudhary,2023-07-14 09:12:56+00:00,206000,170,3280384,zudio vs hm dailyshorts mensfashion budget zudio hnm shopping outfit cost styletips tip
The Vlogger Pooja,2025-08-12 05:32:36+00:00,41,0,2636,zudio sale 2025  zudio summer dress collection  zudio latest collection zudio trending shorts
HER Wardrobe,2025-07-20 11:57:38+00:00,18000,158,2114196,who hurt zudio  zudio zudioshoppingvlog zudiohaulvideo zudioindia zudioindia zudiofinds haul
Priyal Kukreja Life,2025-06-13 11:00:51+00:00,5200,24,222079,cheapest zudio shopping haul  priyalkukreja shorts ytshorts
Heyyy cutiesssss ,2025-08-13 14:28:17+00:00,3,0,246,zudio finds under 149  affordable good quality products under budget
Tanuja Choudhary,2024-04-06 07:48:33+00:00,387000,883,10430602,trying the cheapest makeup from zudio   i am in shock  zudio zudiohaul makeup makeuphaul
Asad Styling,2023-07-21 10:01:21+00:00,118000,541,1694834,zudio shopping shoes are good
Pranjal Kamra,2023-07-09 06:58:35+00:00,371000,1933,6024378,how zudio prices are so low
Mouni ,2025-08-02 03:30:14+00:00,156,3,35610,zudio sale is live now from august 1st sale zudio shopping trending trendingshorts
Trending fashion ,2025-05-25 09:00:19+00:00,574,2,95012,zudio new makeup collection makeup shopping zudio sale
CA Rahul Malodia: Business Coach,2024-10-26 14:00:10+00:00,48000,147,650353,tata zudio    trent  success shorts viralshorts fashion
you me we,2024-07-28 10:02:38+00:00,13000,50,1291098,zudio sale shortsfeed shopping sale zudio zudioshoppingvlog fashion youmewe fashionclothing
The designer mom,2025-06-06 06:18:51+00:00,89,0,27407,best zudio slippers collectionmustbuy offer zudio shopping bestdeals new design yt 10k 1m
The Modern Game,2025-08-10 13:00:42+00:00,0,3,34517,zudio ka 99 no secret business model
Tjyoutuber ,2025-08-01 13:51:23+00:00,314,4,20984,zudio offer  madurai zudio offer trending explore melur viral viralvideos shortsfeed
Allen Choudhary,2023-10-16 08:51:03+00:00,114000,243,1507720,zudio ka sbse best winter collectiondailyshorts mensfashion zudio winter outfit collection
Priyanka Bysack,2025-06-13 21:56:34+00:00,2500,14,62901,i regret buying from zudio zudio haul affordable makeup foryou ytshorts shorts grwm fyp
Puneet Bairwa ,2025-08-04 13:20:39+00:00,45,0,3881,zudio loot liya aaj   minivlog shorts shortvideo shopping
Jigilz Aswani,2025-08-13 14:05:56+00:00,0,0,576,zudio onam vibes  jigilzaswani shopping zudio fashion
Ashima The explorer,2025-06-02 13:31:03+00:00,7600,24,253161,whats wrong with zudio  zudio zudiohaul
Mitali Chopra,2025-01-23 13:12:53+00:00,1400,35,146859,do not go to zudio  zudio zudiocollection zudiosale
D BeautyBlush,2024-09-08 08:35:53+00:00,162000,213,3842178,testing out zudio budget friendly makeup  is it worth the hype   shorts haul  zudiomakeup
Bhuvika ,2025-06-17 16:38:44+00:00,13000,11,809191,zudio haul explore explorepage zudio shopping haul zudiohaul minivlog
Payals Palette,2024-10-14 08:35:18+00:00,72000,267,3407208,new launch zudio festive collection  kurtas  korean pinterest jewellery and footwear zudio
Allen Choudhary,2023-07-05 08:37:31+00:00,271000,289,4926673,shopping from zudio dailyshorts zudio oldmoneystyle outfit styletips shopping mensfashion
Secret Starry Night,2025-06-10 12:13:19+00:00,4400,65,231427,zudio haul zudio zudiohaulvideo shopping ootd dresshaul zudioindia calicut minivlog
Vanya dixit vlogs,2024-04-05 10:03:53+00:00,17000,70,919823,zudio new makeup 199zudio zudiohaul makeup zudioshopping
shimic my home,2025-08-08 15:01:10+00:00,168,10,13316,zudio sale 2025  zudio sale  zudio new collection zudiosale zudio zudiosale2025 trending
Khushi komal,2025-07-22 05:30:17+00:00,2800,21,78972,what i got from zudio self birthday gift  ytshorts zudio zudiohaul shopping tshirt
Shivam malik vlogs,2023-06-02 12:37:14+00:00,313000,1897,7230915,tata zudio itna sasta  shivammalik shorts
NRFM-VOICE,2023-08-19 12:30:24+00:00,518000,774,9037261,zudio shopping shorts shortsfeed shortsvideo youtubeshorts shopping viral trending dress
Jobless Visu,2023-05-01 13:45:00+00:00,294000,1096,5816425,is zudio cheap or expensive  19  shorts minivlog vlog tranding
Annu_asthetic creator ,2025-08-01 11:45:32+00:00,44,1,5708,zudio sale august 2025 everything i got under rs 499
Vanshika Singh,2025-08-10 14:04:30+00:00,0,4,4907,zudio finds new collection  sale lg gai hai zudio zudiohaul trending viralvideoshort
shimic my home,2025-06-21 06:30:02+00:00,211,36,31914,zudio summer collection 2025  zudio latest collection 2025  zudio haul  zudio shopping  zudio
Think School,2025-01-13 13:42:04+00:00,1900,14,55434,truth about zudio revealed
Allen Choudhary,2023-11-14 08:40:38+00:00,294000,2230,7464907,zudio vs amazondailyshorts mensfashion jacket zudio outfitideas outfit fashion price tip
Uthara Unni,2025-05-20 05:19:27+00:00,40000,158,1410141,how many products can i buy from zudio with 500
Muskan Rawat,2023-05-27 04:58:06+00:00,48000,38,1959552,under 100 zudio zudioshopping under100 affordable  youtubeshorts
Aalsi Ayushi,2025-07-12 14:40:30+00:00,296,4,35145,zudio july collection 2025zudio latest collection starting 199 zudio monsoon collection
Arti Tutorial,2025-08-05 05:09:19+00:00,0,0,11625,zudio sale 2025 zudio sale zudio zudio summer collection zudio zudiosale trending yt shorts
