date,text,likes,comments,shares,post_url,page_name
2025-05-29 13:26:58+00:00,"one drop too many moods

myzudio",3,0,0,https://www.facebook.com/reel/549485108032834/,MyZudio
2025-05-22 14:21:44+00:00,"lowkey intro highkey vibe
micahs here 

myzudio",4,0,0,https://www.facebook.com/reel/2510416085962747/,MyZudio
2025-05-06 14:30:10+00:00,"the zummer runway vol 2  ft hiral  akshay

myzudio zummer thezummerrunway",14,0,0,https://www.facebook.com/reel/1028247868803423/,MyZudio
2025-05-06 12:30:03+00:00,"we saw this top on the zummer runway and said mine now 

myzudio zummer thezummerrunway",13,0,1,https://www.facebook.com/reel/1202845534552520/,MyZudio
2025-05-06 05:30:11+00:00,"the zummer runway vol 2  ft musiq

myzudio zummer thezummerrunway",9,0,0,https://www.facebook.com/reel/1329854094753356/,MyZudio
2025-05-05 13:30:26+00:00,"the zummer runway vol 2  ft pratik

myzudio zummer thezummerrunway",4,1,0,https://www.facebook.com/reel/622626124147777/,MyZudio
2025-05-05 11:30:20+00:00,"the zummer runway vol 2  ft monishaa  anushka

myzudio zummer thezummerrunway",4,1,0,https://www.facebook.com/reel/722698670182113/,MyZudio
2025-05-04 13:30:13+00:00,"pov the cctv caught us serving zummer 

myzudio zummer thezummerrunway",4,0,0,https://www.facebook.com/reel/1408500076827684/,MyZudio
2025-05-04 08:30:12+00:00,"the zummer runway vol 2  ft tejas

myzudio zummer thezummerrunway",5,1,0,https://www.facebook.com/reel/1413319329753912/,MyZudio
2025-05-03 13:30:14+00:00,"the zummer runway vol 2  ft tanishaa

myzudio zummer thezummerrunway",6,0,0,https://www.facebook.com/reel/1188580326386446/,MyZudio
2025-05-03 08:30:11+00:00,"the zummer runway vol 2  ft rahul

myzudio zummer thezummerrunway",1,0,0,https://www.facebook.com/reel/1611690782806232/,MyZudio
2025-05-02 11:32:06+00:00,"the zummer runway  vol 2

myzudio zummer thezummerrunway",5,0,0,https://www.facebook.com/reel/1658248444825003/,MyZudio
2025-05-01 08:27:19+00:00,"ready to hit play on vol2 of the zummer runway 

myzudio zummer thezummerrunway",7,2,0,https://www.facebook.com/reel/577497345380543/,MyZudio
