type,caption,comments_count,likes_count,timestamp
Video,"documenting good days and great fits

myzudio",83,6184,2025-06-02 11:29:21+00:00
Video,"its giving runway showdown but the venue is anywhere you step

myzudio",69303,955,2025-06-04 12:38:46+00:00
Video,"lowkey intro highkey vibe
micahs here 

myzudio",8,696,2025-05-22 14:21:17+00:00
Video,"dripping in citrus and sass
myzudio",21,1083,2025-06-16 14:17:32+00:00
Sidecar,"swipe to see some outfit combos youll want to copy and paste everywhere this month 

myzudio",45,1364,2025-06-06 11:31:43+00:00
Video,"pov the cctv caught us serving zummer 

myzudio zummer thezummerrunway",54,2609,2025-05-04 13:30:00+00:00
Video,"zummer fits hotter than our group chat tea 

myzudio zummer thezummerrunway",66,1706,2025-05-07 11:31:43+00:00
Image,"your style has a sound whats your fit saying today

myzudio",6,490,2025-05-13 09:23:49+00:00
Video,"one drop too many moods

myzudio",101,516,2025-05-29 14:18:06+00:00
Sidecar,"we said walk and they heard serve

myzudio zummer thezummerrunway",16,2070,2025-05-06 06:30:00+00:00
Video,"tried all the zummer trends that are in rn at zudio which one are you picking 

myzudio zummer",50,2870,2025-05-10 13:31:08+00:00
Sidecar,"basics never basic

myzudio",119,8996,2025-06-29 05:32:59+00:00
Video,"look closely to find your next fav  

myzudio",78,587,2025-06-03 12:30:00+00:00
Sidecar,"rushakis world is part melody part moodboard in goas calm she found her sound and her style 

myzudio",77,1993,2025-05-16 11:32:11+00:00
Sidecar,"catch him in the studio or on your playlist either way its a whole vibe

myzudio",53,1502,2025-05-24 11:30:13+00:00
Video,"coming soon fits and songs youre gonna play on loop 

myzudio",15,852,2025-05-15 11:38:25+00:00
Image,"if your mood board had a soundtrack this is what itd look like stay tuned 

myzudio",5,672,2025-05-13 11:43:26+00:00
Video,"tried the zummer fits now were in our runway era  

myzudio zummer thezummerrunway",33,1804,2025-04-26 13:20:26+00:00
Video,"cant commit to a plan but can commit to denim 

myzudio",71,2995,2025-06-01 13:27:36+00:00
Video,"not just a show its a cultural reset 

myzudio zummer thezummerrunway",25,969,2025-04-17 11:29:31+00:00
Video,"the zummer runway  vol 01

myzudio zummer thezummerrunway",49,1703,2025-04-18 15:42:56+00:00
Image,"tune in for fits that linger like a song stuck in your head 

myzudio",13,441,2025-05-13 13:22:31+00:00
Sidecar,"if you felt the zummer energy through these pics same 

myzudio zummer thezummerrunway",44,6793,2025-04-19 08:35:00+00:00
Video,"these runway fits just hit different irl 

myzudio zummer thezummerrunway",53,1609,2025-04-24 14:46:17+00:00
Sidecar,"fresh off the runway the trends youre about to see everywhere 
 pick your fav from the drop

myzudio zummer thezummerrunway",63,5718,2025-04-20 12:45:37+00:00
Sidecar,"backstage chaos but make it aesthetic

myzudio zummer thezummerrunway",24,6527,2025-04-25 11:30:00+00:00
Sidecar,"caught the faces of zummer being iconic off the runway 

myzudio zummer thezummerrunway",27,2877,2025-05-01 11:30:00+00:00
Sidecar,"she came she walked she zummered 

myzudio zummer thezummerrunway",141,2851,2025-04-21 13:32:35+00:00
Video,"warning mirror may reflect  too much drip

myzudio zummer thezummerrunway",15,858,2025-04-20 09:38:13+00:00
Video,"the zummer runway  vol 2

myzudio zummer thezummerrunway",38,854,2025-05-02 11:31:34+00:00
Video,"serving twinergy with a side of zummer fits 

myzudio zummer",38,1876,2025-04-11 14:09:31+00:00
Image,"serving runway realness real soon 

myzudio zummer thezummerrunway",36,618,2025-04-13 05:31:16+00:00
Video,"the backstage is buzzing and the runways loading 

myzudio zummer thezummerrunway",23,1256,2025-04-18 08:58:53+00:00
Sidecar,"zummer runway gallery dump because how could we not 

myzudio zummer thezummerrunway",16,2926,2025-05-03 11:30:00+00:00
Sidecar,"zummer wishlist

myzudio zummer",12,1443,2025-04-07 12:26:13+00:00
Image,"zummer forecast 100 chance of fashion 

myzudio zummer thezummerrunway",7,581,2025-04-13 11:30:00+00:00
Video,"zummer fits got me dancing through life 

myzudio zummer",21,1954,2025-04-07 15:06:38+00:00
Sidecar,"matcha in hand accessories on point vibes unmatched 

myzudio zummer thezummerrunway",42,6119,2025-05-08 12:32:54+00:00
Video,"meet the faces of zudio with unreal energy walkin the zummer runway real soon 

myzudio zummer thezummerrunway",99,1084,2025-04-15 15:01:57+00:00
Sidecar,"zummer diaries sunshine good vibes and outfits that ate 

myzudio zummer",10,1941,2025-04-09 15:07:07+00:00
Image,"the zummer secret youre not ready for 

myzudio zummer thezummerrunway",9,456,2025-04-13 13:30:00+00:00
Sidecar,"lowkey just vibed my way into a zudio campaign and now im on all their screens  face of zudio ftw 

myzudio zummer bethefaceofzudio",52,1758,2025-04-05 12:14:19+00:00
Video,"just two cuties chasing sunsets and serving zummer lewks 

myzudio zummer",39,2609,2025-04-08 13:54:03+00:00
Video,"manifesting a life where every transition  a new zummer fit

myzudio zummer",31,6130,2025-04-06 12:00:00+00:00
